1,0.000,0.000,0.000,
2,0.688,3.661,1.902,A
3,0.607,3.657,1.996,A1
4,0.758,3.632,1.997,A2
5,0.772,3.711,1.838,A3
6,0.621,3.736,1.837,A4
7,2.522,0.724,1.824,B
8,2.560,0.659,1.921,B1
9,2.599,0.678,1.749,B2
10,2.531,0.815,1.748,B3
11,3.612,-1.099,1.858,B4
12,3.612,-1.100,1.856,C
13,3.622,-1.021,1.953,C1
14,3.594,-1.171,1.952,C2
15,3.654,-1.182,1.787,C3
16,3.681,-1.032,1.786,C4
17,1.147,-2.637,1.857,D
18,1.213,-2.595,1.953,D1
19,1.083,-2.675,1.953,D2
20,1.111,-2.721,1.783,D3
21,1.241,-2.640,1.783,D4
22,-0.895,-3.564,1.938,E
23,-0.818,-3.573,2.035,E1
24,-0.969,-3.549,2.034,E2
25,-0.977,-3.605,1.866,E3
26,-0.827,-3.630,1.867,E4
27,-2.244,-1.325,1.966,F
28,-2.189,-1.379,2.063,F1
29,-2.273,-1.250,2.059,F2
30,-2.339,-1.297,1.903,F3
31,-2.257,-1.425,1.906,F4
32,-3.355,0.514,1.969,G
33,-3.348,0.440,2.070,G1
34,-3.332,0.592,2.062,G2
35,-3.409,0.592,1.901,G3
36,-3.424,0.440,1.909,G4
37,-1.542,1.957,1.967,H
38,-1.605,1.912,2.064,H1
39,-1.471,1.988,2.063,H2
40,-1.505,2.041,1.896,H3
41,-1.637,1.966,1.899,H4

